,school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,lat,long,isLatLongAvailable
25,BEDOK GREEN SECONDARY SCHOOL,http://www.bedokgreensec.moe.edu.sg,360  BEDOK NORTH AVE 3,469722,64463301,na,64465969,na,BGSS@MOE.EDU.SG,"BEDOK MRT, BEDOK RESERVOIR MRT","14, 17, 18, 28, 46, 66, 67, 69, 168, 222, 228, 506",MR BOY ENG SENG,MS FOO SHEUE FENG (FU XUEFENG),MISS SAKINAH BINTE MOHAMED SARIP,,,,,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.33451947288431,103.935028383346,True
26,BEDOK SOUTH SECONDARY SCHOOL,http://www.bedoksouthsec.moe.edu.sg,1    JALAN LANGGAR BEDOK,468585,64414479,na,64491314,na,bsss@moe.edu.sg,TANAH MERAH MRT,"10, 14, 45",MR TEOH TEIK HOE,MISS AZLINDA BTE SAMSUDIN,MISS TAN PO CHIN,,,,,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.32513655159184,103.950989139261,True
27,BEDOK VIEW SECONDARY SCHOOL,http://www.bedokviewsec.moe.edu.sg,6    BEDOK SOUTH AVENUE 3,469293,64430563,na,64494286,na,bedokview_ss@moe.edu.sg,TANAH MERAH MRT,"2, 9, 12, 14, 24, 25, 31, 35, 38, 45, 46, 47, 48, 506",MDM TEO YVONNE,MDM CH'NG YUEN PING,MR LAWRENCE KOH,,,,,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.3241570405706,103.943776244752,True
29,BENDEMEER SECONDARY SCHOOL,http://www.bendemeersec.moe.edu.sg,1    ST WILFRED ROAD,327919,62927616,na,62932594,na,BENDEMEER_SS@MOE.EDU.SG,BOON KENG MRT,"13,  23,  31,  64,  65,  66, 125, 133, 140, 147, 857, 985",MR CHEN FOOK PANG,MR LAWRENCE POON YEW LEE,MR HO CHI CHENG,,,,,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.32461111307996,103.860970284401,True
32,BOON LAY SECONDARY SCHOOL,https://www.boonlaysec.moe.edu.sg,11   JURONG WEST STREET 65,648354,67940161,na,67941324,na,BLSS@MOE.EDU.SG,BOON LAY MRT,"99, 181, 192, 193, 242, 243, 257, 502, 502A",MR INDERJIT SINGH,MR ABDULATTIF S/O ABDULLAH,MISS SHARON SHEN QIUHUA,,,,,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.34272216334333,103.701891453912,True
33,BOWEN SECONDARY SCHOOL,http://www.bowensec.moe.edu.sg,2    LORONG NAPIRI,547529,63859466,na,63856559,na,BOWEN_SS@MOE.EDU.SG,"HOUGANG MRT, SERANGOON MRT, SENGKANG MRT","43, 70, 73, 103, 109, 156, 854, 25, 74, 74E, 76, 112, 132, 147, 165, 55",MR LIU EARNLER,MISS LIM GUIHAO,MR TAY YONG SEAH MELVIN,,,,,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.37035994436209,103.877659577677,True
34,BROADRICK SECONDARY SCHOOL,http://www.broadricksec.moe.edu.sg,61   DAKOTA CRESCENT,399935,63445025,na,64471427,na,BROADRICK_SS@MOE.EDU.SG,DAKOTA MRT,"10, 16, 30, 31, 32, 33",MDM TAN LAY HONG,MDM SUTINAH BINTE TAIB,"MR QUEK POH BENG, KENNETH",,,,,GEYLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.30705061123433,103.886917922608,True
35,BUKIT BATOK SECONDARY SCHOOL,http://www.bukitbatoksec.moe.edu.sg,50   BUKIT BATOK WEST AVE 8,658962,65663121,na,65607006,na,bbss@moe.edu.sg,BUKIT BATOK MRT,"66, 66B, 157, 174, 174E, 178, 506, 941, 991",MR PHUA HUAT CHUAN,MR MAK YEW CHONG,MR WU TIAN HWEE,,,,,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.348490856493,103.740873704829,True
36,BUKIT MERAH SECONDARY SCHOOL,http://www.bukitmerahsec.moe.edu.sg,10   LENGKOK BAHRU,159050,64748934,na,64744122,na,bmss@moe.edu.sg,REDHILL MRT,"14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961",MR CHENG GHEE HOCK TIMOTHY,MR KOH YONG HWEE DARYL,MDM YAP SHARON,,,,,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.28569283064288,103.813438929393,True
37,BUKIT PANJANG GOVT. HIGH SCHOOL,http://www.bpghs.moe.edu.sg,7    CHOA CHU KANG AVE 4,689809,67691031,na,67626576,na,BPGHS@MOE.EDU.SG,CHOA CHU KANG MRT,"300, 983",MR CHUA LEK HONG,MR LING TING LIANG EDMUND,,,,,,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,1.3822255716626,103.738353917696,True
41,BUKIT VIEW SECONDARY SCHOOL,https://www.bukitviewsec.moe.edu.sg,16   BUKIT BATOK STREET 21,659633,65661990,na,65630945,na,BUKITVIEW_SS@MOE.EDU.SG,BUKIT BATOK MRT,"61, 66, 77, 106, 157, 173, 174, 178, 189, 506, 653, 852, 963, 990",MR KEVIN ANG,MISS WONG KAH WAI SHIRLEY,MR ANG CHERN KWANG KYRIS,,,,,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.3457330554294,103.752226593984,True
43,CANBERRA SECONDARY SCHOOL,https://canberrasec.moe.edu.sg,51   SEMBAWANG DRIVE,757699,67585070,na,67583110,na,CANBERRA_SS@MOE.EDU.SG,SEMBAWANG MRT,"859, 962",MR NG TIONG NAM,MS TNG YA WEN VALERIE,MDM ONG LAY YEN,,,,,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.45319086315972,103.814203583818,True
49,CEDAR GIRLS' SECONDARY SCHOOL,http://www.cedargirlssec.moe.edu.sg,1    CEDAR AVENUE,349692,62884909,na,62820244,na,cedargirlss@moe.edu.sg,"WOODLEIGH MRT, POTONG PASIR MRT, MATTAR MRT","8, 13, 61, 64, 65, 66, 90, 100, 107, 133, 135, 142, 147, 151, 154, 155, 853",MDM TEY KAH HWEE,MDM LIM YING YING,MDM TAN GEOK LAN,,,,,TOA PAYOH,EAST,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,Yes,Chinese,Malay,Tamil,1.33375800216334,103.873933064886,True
51,CHANGKAT CHANGI SECONDARY SCHOOL,http://www.changkatchangisec.moe.edu.sg,23   SIMEI ST 3,529894,67859790,na,67868481,na,CHANGKATCHGI@MOE.EDU.SG,SIMEI MRT,"5, 9, 20, 38",MR HO MING DA,MISS LOH SEIN LING,MR DANNY CHEW POH HUAT,,,,,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.33950630072876,103.953245525564,True
55,CHIJ KATONG CONVENT,http://www.chijkatongconvent.moe.edu.sg,346  MARINE TERRACE,449150,64486433,na,64494405,na,chijktcs@moe.edu.sg,"BEDOK MRT, KEMBANGAN MRT, EUNOS MRT, PAYA LEBAR MRT","4N, 13, 16, 31, 36, 36A, 36B, 43, 47, 48, 55, 134, 135, 135A, 150, 196, 196E, 197, 853C, 763",MDM CHAN GEK SAN PATRICIA,MDM ONG BEE HOON,MISS LIM AI HUI ANNIE,,,,,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,1.30644268034894,103.917144350028,True
60,CHIJ SECONDARY (TOA PAYOH),http://www.chijsec.edu.sg,626  LORONG 1 TOA PAYOH,319764,63534972,na,63544573,na,CHIJTPSS@MOE.EDU.SG,TOA PAYOH MRT,"59, 141, 231",MDM RACHEL ANG LAY KOON,MISS TEO GEOK SIAN,MISS PHUA AI LING ADELINE,,,,,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,1.33246079948303,103.843271625083,True
61,CHIJ ST. JOSEPH'S CONVENT,http://www.chijstjosephsconvent.moe.edu.sg,62   SENGKANG EAST WAY,548595,64897580,na,64897589,na,CHIJSJCS@MOE.EDU.SG,SENGKANG MRT,"50, 82, 86, 88, 119, 136",MRS VALERIE PINTO,MISS TAN KIM BERLINA,MISS HO WEI LING,,,,,SENG KANG,NORTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.39175222260369,103.902464991543,True
66,CHRIST CHURCH SECONDARY SCHOOL,http://www.christchurchsec.moe.edu.sg,20   WOODLANDS DRIVE 17,737924,68933297,na,68932789,na,ccss@moe.edu.sg,"WOODLANDS MRT, WOODLANDS SOUTH MRT","901, 901M, 665",MR LAU YAN BOON DAVID,MR ONG KAH HUI VICTOR,MRS LEE BEE CHEOW,,,,,WOODLANDS,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.42653981910601,103.792987223691,True
68,CHUA CHU KANG SECONDARY SCHOOL,http://www.chuachukangsec.moe.edu.sg,3    TECK WHYE CRESCENT,688845,67655228,67664425,67636807,na,CCKSS@MOE.EDU.SG,CHOA CHU KANG MRT,"190, 307, 975, 982E, 985",MDM ONG LIANG FUNG,MDM HARTATI BTE OSMAN,,,,,,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.38319029263484,103.751878290333,True
69,CHUNG CHENG HIGH SCHOOL (MAIN),http://www.chungchenghighmain.moe.edu.sg,50   GOODMAN ROAD,439012,63441393,na,63449686,na,CCHMS@MOE.EDU.SG,DAKOTA MRT,"10, 12, 14, 16, 16M, 30, 31, 32, 33, 40, 43, 135, 134, 196, 197",MR CHAN YING YIN,DR ONG CHUN GHEE,"MDM TAN JWEE LYNN, CHERYL",,,,,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Chinese,na,na,1.30509154753048,103.891653229373,True
70,CHUNG CHENG HIGH SCHOOL (YISHUN),http://www.chungchenghighyishun.moe.edu.sg,11   YISHUN STREET 61,768547,67583912,na,67587397,na,cchys@moe.edu.sg,KHATIB MRT,"85, 811, 812, 851, 852, 853, 854, 855, 858, 860, 965, 969",MR TAN YEE KAN,MRS CHONG LAI PENG NEE YEO,MR CHANG FOOK YONG,,,,,YISHUN,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.41922603586175,103.837390782849,True
72,CLEMENTI TOWN SECONDARY SCHOOL,http://www.clementitownsec.moe.edu.sg,10   CLEMENTI AVE 3,129904,67777362,na,67789543,na,ctss@moe.edu.sg,CLEMENTI MRT,"14, 105, 106, 147, 156, 165, 166, 173, 175, 184, 196, 282, 284, 285, 7, 96, 99",MDM LEE CHING GUAN HELEN,MISS LEONG KAI LING,MRS TAY CHEN LAI,,,,,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.31553912945073,103.762020598524,True
73,COMMONWEALTH SECONDARY SCHOOL,http://www.commonwealthsec.moe.edu.sg,698  WEST COAST ROAD,608784,65606866,na,65645204,na,cwss@moe.edu.sg,"JURONG EAST MRT, CLEMENTI MRT","30, 51, 78, 79, 143, 143M, 176, 201",MR NG BOON KIAT,MR LEOW ZHI WEN PHILIBERT,,,,,,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,1.31920395934801,103.745637393049,True
75,COMPASSVALE SECONDARY SCHOOL,http://www.compassvalesec.moe.edu.sg,51   COMPASSVALE CRESCENT,545083,68815047,na,68815998,na,CVSS@MOE.EDU.SG,"SENGKANG MRT, COMPASSVALE LRT","27, 27A, 82,  83,  86,  88,  89, 89E, 136, 161, 371, 965",MR CHIA CHOR YANN,MR SUKHDEV SINGH S/O GURDEEP SINGH,MISS KEE LEE LING,,,,,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.39614083952009,103.899847164494,True
78,CRESCENT GIRLS' SCHOOL,http://www.crescent.edu.sg,357  TANGLIN ROAD,247961,64758711,na,64741248,na,CRESCENTGIRL@MOE.EDU.SG,REDHILL MRT,"32, 111, 122, 132, 51, 139, 186, 970",MRS HELEN CHONG,MISS USHA JEYARAJAH,,,,,,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,1.29331947049729,103.817544461483,True
79,CREST SECONDARY SCHOOL,http://www.crestsec.edu.sg,561  JURONG EAST STREET 24,609561,68992779,na,68992668,na,info@crestsec.edu.sg,"BUKIT BATOK MRT, JURONG EAST MRT","41, 52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502, 868, 990",MR SEET TIAT HEE,MR HO KUM FAI SAM,MR CHAN TECK HONG DAVID,,,,,JURONG EAST,WEST,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.3431198045076,103.742628105304,True
81,DAMAI SECONDARY SCHOOL,http://www.damaisec.moe.edu.sg,4800 BEDOK RESERVOIR ROAD,479229,64436848,na,64425629,na,damai_ss@moe.edu.sg,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",MDM CHAN WAN SIONG,MRS OH WEE MING,MR SIVAKUMAR S/O VISWANATHAN,,,,,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.33692798510393,103.927091653438,True
84,DEYI SECONDARY SCHOOL,http://www.deyisec.moe.edu.sg,1    ANG MO KIO STREET 42,569277,64561565,na,64583364,na,DEYI_SS@MOE.EDU.SG,ANG MO KIO MRT,"22, 24, 25, 45, 50, 55, 73, 74, 76, 88, 132, 135, 159, 162, 165, 261, 262, 268, 652, 853",MRS LIM AI POO,MDM TAN SHAO MAY,MR APOLLOS INDUCHOODAN S/O R A P,,,,,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.36599702567717,103.852545772422,True
85,DUNEARN SECONDARY SCHOOL,http://www.dunearnsec.moe.edu.sg,21   BUKIT BATOK WEST AVENUE 2,659204,65653692,na,65668650,na,DUNEARN_SS@MOE.EDU.SG,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",MDM TAN MIAO LING,MRS SHANTHIMALAR SOMASUNDRAM,MISS TAY JIA MING JASMINE,,,,,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.36357900792871,103.74472109107,True
87,DUNMAN SECONDARY SCHOOL,http://www.dunmansec.moe.edu.sg,21   TAMPINES STREET 45,529093,67862668,na,67842164,na,DUNMAN_SS@MOE.EDU.SG,TAMPINES EAST MRT,"28, 29, 293",MR TOH THIAM CHYE,MRS CLAIRE CHO,MR MOHAMED SAYADI BIN MOHAMED NOR,,,,,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,1.36065258337022,103.956213906966,True
89,EAST SPRING SECONDARY SCHOOL,http://www.eastspringsec.moe.edu.sg,30   TAMPINES STREET 34,529231,65873805,na,65873804,na,esss@moe.edu.sg,"TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518",MISS HO SUSIE,MR ANG JOHNNY,MR TAN SHIN EIK,,,,,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.35622508992581,103.960640700298,True
91,EDGEFIELD SECONDARY SCHOOL,http://www.edgefieldsec.moe.edu.sg,36   PUNGGOL FIELD,828814,68839511,na,63153120,na,edgefield_ss@moe.edu.sg,PUNGGOL MRT,"3, 34, 62, 82, 83, 119, 136, 381, 382G",MR LEE PECK PING,MDM LIM PUAY KHENG,MR BENSON TEO HONG GUAN,,,,,PUNGGOL,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.40059309981824,103.902687385465,True
97,EVERGREEN SECONDARY SCHOOL,http://www.evergreensec.moe.edu.sg,11   WOODLANDS STREET 83,738489,63656392,na,63658083,na,EVERGREEN_SS@MOE.EDU.SG,WOODLANDS MRT,911,MR TOH KIM YONG VINCENT,MR CHUA TUNG KIAN,MR LAK YAU HUI,,,,,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.44149131273737,103.794137756171,True
99,FAIRFIELD METHODIST SCHOOL (SECONDARY),http://www.fairfieldmethodistsec.moe.edu.sg,102  DOVER ROAD,139649,67788702,na,67797482,na,FMSS@MOE.EDU.SG,"BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",MS CHEN LI YING AUDREY,MR LIM SIN HENG,MR LIM YONG CHAI ALAN,,,,,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,1.30183742154919,103.784340509094,True
100,FAJAR SECONDARY SCHOOL,http://www.fajarsec.moe.edu.sg,31   GANGSA ROAD,678972,67691491,na,67633025,na,FAJAR_SS@MOE.EDU.SG,"BUKIT PANJANG MRT, BUKIT PANJANG LRT, PETIR LRT","67, 75, 75A, 170, 171, 176, 177, 178, 180, 180A, 920, 922, 960, 961, 963, 963E, 963R, 970, 972, 972A, 973, 973A, 975, 976, 979",MISS HO SOOK FUN DORIS,MS CHOO WAN XIAN,MR NGOH SING KIEN ARTHUR,,,,,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.375600053443,103.763998914082,True
108,FUCHUN SECONDARY SCHOOL,http://www.fuchunsec.moe.edu.sg,21   WOODLANDS AVENUE 1,739062,63681984,na,63670180,na,fcss@moe.edu.sg,"MARSILING MRT, WOODLANDS MRT","187, 856, 912, 913M, 925, 925M, 926, 950, 960, 960E, 961, 961M, 963, 963E, 963R, 966, 912B, 912M",MDM ONG BEE LIAN DORIS,"MR SIM KOK HIAN, KENNETH",MR KWAN YEW MENG,,,,,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.43070452883799,103.777625748539,True
110,FUHUA SECONDARY SCHOOL,http://www.fuhuasec.moe.edu.sg,5    JURONG WEST STREET 41,649410,65633067,na,65634379,na,FHSS@MOE.EDU.SG,"CHINESE GARDEN MRT, LAKESIDE MRT","49, 98, 99, 157, 180, 185, 187, 198, 334, 335, 502, 657",MISS FOONG LAI LEONG,MR SIM HOW CHONG,MRS SHAIMA ANSHAD,,,,,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.34701408913756,103.72652089832,True
