facility_name,facility_type,address,lat,long
ACUMED MEDICAL GROUP,CHAS Clinic,14 TUAS AVENUE 1 639499,1.32148166492796,103.66095280564
ADIDAH FAMILY CLINIC & SURGERY,CHAS Clinic,821 TAMPINES ST 81 520821,1.34841976695403,103.934649103244
ADMIRALTY FAMILY MEDICAL CLINIC,CHAS Clinic,693 WOODLANDS AVENUE 6 730693,1.43808788035983,103.80376495913
ADVANCE CLINIC & SURGERY PTE LTD,CHAS Clinic,301 UBI AVE 1 400301,1.33068802483318,103.901953041118
AE Medical Clinic,CHAS Clinic,467B FERNVALE LINK 792467,1.39807105477126,103.877933381804
AIDAN MEDICAL CLINIC,CHAS Clinic,539 BEDOK NORTH STREET 3 460539,1.33131386611754,103.925307290309
ALEXANDRA FAMILY CLINIC & SURGERY,CHAS Clinic,57 DAWSON ROAD 142057,1.29270339832463,103.810958956801
ALLIANCE CLINIC AND PARTNERS PTE LTD,CHAS Clinic,652 JALAN TENAGA 410652,1.33269651937702,103.907742997146
AMDA International Peace Clinic,CHAS Clinic,9 TAMAN SERASI 257720,1.30847204130269,103.819135632329
AMITY MEDICAL CLINIC & DENTAL SURGERY,CHAS Clinic,371 BT BATOK ST 31 650371,1.35925940880518,103.75069463099
AMK FAMILY CLINIC PTE LTD,CHAS Clinic,51 ANG MO KIO AVE 3 569922,1.36929729659109,103.847159445411
AMPM FAMILY CLINIC & SURGERY PTE. LTD.,CHAS Clinic,123 TOA PAYOH LOR 1 310123,1.33864901778038,103.845703844549
ANG MO KIO MEDICAL CENTRE,CHAS Clinic,157 ANG MO KIO AVE 4 560157,1.37530562129984,103.839395071325
ANSARI FAMILY CLINIC & SURGERY,CHAS Clinic,78 LORONG  25A GEYLANG ROAD 388259,1.31592240672591,103.883338697356
APEX CLINIC & SURGERY,CHAS Clinic,844 YISHUN ST 81 760844,1.41562517359593,103.835446503405
APEX CLINIC & SURGERY,CHAS Clinic,306 WOODLANDS ST 31 730306,1.42992991950792,103.774636554647
APEX MEDICAL CENTRE (JURONG) PTE LTD,CHAS Clinic,960 JURONG WEST ST 92 640960,1.34138531152671,103.691459639169
AR-Raudhah Medical Clinic and Surgery Pte Ltd,CHAS Clinic,372 BUKIT BATOK STREET 31 650372,1.35866916669751,103.751213742333
ARCADIA CLINIC,CHAS Clinic,2 PANDAN VALLEY 597626,1.32044171174532,103.778972458718
ASIAMEDIC WELLNESS ASSESSMENT CENTRE,CHAS Clinic,350 ORCHARD ROAD 238868,1.30580981572661,103.831507365278
ASPEN CLINIC,CHAS Clinic,283 BISHAN STREET 22 570283,1.35891907140489,103.844748631654
ASSOCIATE DISPENSARIES,CHAS Clinic,94 TOA PAYOH LOR 4 310094,1.33889442806175,103.849538318462
ASSURANCE MEDICARE CLINIC AND SURGERY,CHAS Clinic,370 TANJONG KATONG ROAD 437127,1.30288819409101,103.896729088429
ATLAS PACIFIC MEDICAL,CHAS Clinic,428 RIVER VALLEY ROAD 248327,1.29446098576164,103.827620903348
ATRIO FAMILY CLINIC (AMK) PTE. LTD.,CHAS Clinic,532 ANG MO KIO AVENUE 10 560532,1.37380851529933,103.854594160953
Acacia Medical Clinic,CHAS Clinic,180 DEPOT ROAD 109684,1.28220135432784,103.803023755955
AcuMed Medical Group,CHAS Clinic,301 BOON LAY WAY 649846,1.33845148863534,103.70592708661
AcuMed Medical Group,CHAS Clinic,214 Bedok North Street 1 460214,1.32587565153874,103.932493034946
AcuMed Medical Group,CHAS Clinic,215C COMPASSVALE DRIVE 543215,1.38977026270373,103.892787161386
Acumed Medical Group,CHAS Clinic,1 JOO KOON CIRCLE 629117,1.32561767794228,103.678409741881
Acumed Medical Group,CHAS Clinic,128 TUAS SOUTH AVENUE 3 637370,1.28909462597839,103.626524577792
Affinity Medical Clinic,CHAS Clinic,253 SERANGOON CENTRAL DRIVE 550253,1.35403939788243,103.870851534198
"Allergy, Arthritis & Rheumatism Clinic",CHAS Clinic,1 FARRER PARK STATION ROAD 217562,1.31247324146379,103.853929522028
Allhealth Family Clinic,CHAS Clinic,872C TAMPINES STREET 86 523872,1.35524290247104,103.931623628634
Ally Health,CHAS Clinic,46-2 COMMONWEALTH DRIVE 140462,1.29996199426431,103.798227586733
Ang Mo Kio Family Medicine Clinic,CHAS Clinic,4190 ANG MO KIO AVENUE 6 569841,1.37193728999032,103.845949440183
Anteh Dispensary Pte Ltd,CHAS Clinic,1 LORONG 22 GEYLANG 398664,1.31277604579897,103.882455638548
Apollo Medical Centre,CHAS Clinic,668 CHANDER ROAD 210668,1.30758123998287,103.851478219833
Asia HealthPartners,CHAS Clinic,304 ORCHARD ROAD 238863,1.30450610034739,103.833961913411
Atrio Family Clinic,CHAS Clinic,291 YISHUN STREET 22 760291,1.43576080433402,103.836723874387
B S CHEW CLINIC,CHAS Clinic,252 JURONG EAST ST 24 600252,1.34302644245795,103.738145286322
B T GOH FAMILY CLINIC & SURGERY,CHAS Clinic,194 KIM KEAT AVE 310194,1.33093933661869,103.858181908966
BALKIS FAMILY CLINIC,CHAS Clinic,631 BEDOK RESERVOIR RD 470631,1.33295923548327,103.914941831149
BEDOK  CENTRAL CLINIC,CHAS Clinic,214 BEDOK NORTH STREET 1 460214,1.32587565153874,103.932493034946
BEDOK CLINIC & SURGERY(Family Medical Centre),CHAS Clinic,17 BEDOK SOUTH RD 460017,1.32014882956642,103.935563486314
BEDOK LIFE CLINIC,CHAS Clinic,123 BEDOK NORTH ST 2 460123,1.32919868633173,103.937343348132
BEDOK MEDICAL CENTRE,CHAS Clinic,18 BEDOK SOUTH RD 460018,1.3206250489608,103.934734222327
BISHAN GRACE CLINIC,CHAS Clinic,150 BISHAN STREET 11 570150,1.34452706925104,103.855213610026
BL MEDICAL ASSOCIATES,CHAS Clinic,2 SCIENCE PARK DRIVE 118222,1.29076149231466,103.784855036241
BOK FAMILY CLINIC  PTE LTD,CHAS Clinic,117 BEDOK RESERVOIR ROAD 470117,1.33141324887407,103.908688936297
BOON KENG CLINIC & SURGERY,CHAS Clinic,11 UPPER BOON KENG RD 380011,1.31423937057055,103.870914031071
BOON LAY CENTRAL CLINIC,CHAS Clinic,221 BOON LAY PLACE 640221,1.3463481965558,103.712429315355
BOON LAY CLINIC & SURGERY,CHAS Clinic,221 BOON LAY PLACE 640221,1.3463481965558,103.712429315355
BOON LAY CORPORATION CLINIC,CHAS Clinic,350 JURONG EAST AVENUE 1 600350,1.34404941870857,103.731255559658
BOSTON MEDICAL,CHAS Clinic,119 ALJUNIED AVENUE 2 380119,1.32012887334325,103.886058091098
BUKIT BATOK MEDICAL CLINIC,CHAS Clinic,207 BUKIT BATOK ST 21 650207,1.3462486617594,103.749382188619
BUKIT TIMAH CLINIC,CHAS Clinic,621A BUKIT TIMAH ROAD 269731,1.3245755173538,103.809058595403
BUKIT TIMAH NAM SANG  CLINIC,CHAS Clinic,80 JLN JURONG KECHIL 598591,1.34055525010784,103.773237589356
Banyan Clinic Pte Ltd.,CHAS Clinic,768 Woodlands Avenue 6 730768,1.44562290748789,103.798140993881
Beo Crescent Clinic & Surgery,CHAS Clinic,40 Beo Crescent 160040,1.28905789113721,103.827513018591
Bethesda Medical Centre,CHAS Clinic,3 TEMASEK BOULEVARD 038983,1.29593189474123,103.859014406987
Bless Medical Centre Pte Ltd,CHAS Clinic,221 BOON LAY PLACE 640221,1.3463481965558,103.712429315355
Braddell Family Clinic,CHAS Clinic,124 LORONG 1 TOA PAYOH 310124,1.33864876707252,103.844627301844
C & K FAMILY CLINIC PTE LTD,CHAS Clinic,108 UPPER EAST COAST ROAD 455297,1.31316934216382,103.92930519829
C H TAN MEDICAL CLINIC & DENTAL SURGERY,CHAS Clinic,177 BT BATOK WEST AVE 8 650177,1.34634407478636,103.741742087355
C K TAN FAMILY CLINIC & SURGERY PTE LTD,CHAS Clinic,125 TOA PAYOH LOR 1 310125,1.33833133425818,103.845737117486
C Y KOK CLINIC & SURGERY,CHAS Clinic,157 ANG MO KIO AVE 4 560157,1.37530562129984,103.839395071325
C.M.C. WONG BINJAI CLINIC,CHAS Clinic,15 BINJAI PARK 589824,1.33622384171884,103.786854059334
C3 Family Clinic @Aljunied Crescent,CHAS Clinic,95 ALJUNIED CRESCENT 380095,1.32170328990751,103.886195689055
CARE MEDICAL PTE LTD,CHAS Clinic,683 HOUGANG AVE 8 530683,1.37331270083797,103.886367847372
CARITAS CLINIC,CHAS Clinic,304 UBI AVE 1 400304,1.32955256814021,103.901228610039
CASHEW MEDICAL & SURGERY,CHAS Clinic,445 FAJAR RD 670445,1.38358044593591,103.77076830515
CASSIA CLINIC & SURGERY,CHAS Clinic,34 CASSIA CRESCENT 390034,1.30964078460585,103.884471780069
CCK FAMILY CLINIC,CHAS Clinic,304 CHOA CHU KANG AVE 4 680304,1.38449608058333,103.743145847094
CECILIA FAMILY CLINIC & SURGERY,CHAS Clinic,484 TAMPINES ST 43 520484,1.36189785903603,103.952639447158
CENTRAL 24-HR CLINIC (BEDOK),CHAS Clinic,219 BEDOK CENTRAL 460219,1.32496457671995,103.932948087726
CENTRAL 24-HR CLINIC (CLEMENTI),CHAS Clinic,450 Clementi Ave 3 120450,1.31353886094619,103.765476305113
CENTRAL 24-HR CLINIC (HOUGANG),CHAS Clinic,681 HOUGANG AVE 8 530681,1.37297840263115,103.885679159796
CENTRAL 24-HR CLINIC (MARSILING),CHAS Clinic,303 WOODLANDS STREET 31 730303,1.43079961597954,103.774011078502
CENTRAL 24-HR CLINIC (PASIR RIS),CHAS Clinic,446 PASIR RIS DRIVE 6 510446,1.37030619330386,103.957726864829
CENTRAL 24-HR CLINIC (TAMPINES),CHAS Clinic,201D TAMPINES STREET 21 524201,1.35226231434834,103.953586491461
CENTRAL 24-HR CLINIC (WOODLANDS),CHAS Clinic,768 WOODLANDS AVENUE 6 730768,1.44562290748789,103.798140993881
CENTRAL 24-HR CLINIC (YISHUN),CHAS Clinic,701A YISHUN AVE 5 761701,1.4298784547931,103.827943218947
CENTRAL MEDICAL GROUP PTE LTD,CHAS Clinic,11 JALAN BUKIT MERAH 150011,1.28662190371744,103.808963346658
CHAI CHEE CLINIC & SURGERY,CHAS Clinic,25A CHAI CHEE RD 461025,1.32328959901597,103.924149637094
CHAN FAMILY CLINIC,CHAS Clinic,865 MOUNTBATTEN ROAD 437844,1.30409731167599,103.901515916912
CHANG CLINIC,CHAS Clinic,1 JLN ANAK BUKIT 588996,1.3387593077272,103.77860007818
CHANG CLINIC & SURGERY,CHAS Clinic,7 EVERTON PARK 080007,1.27692435181046,103.838679504053
CHARIS CLINIC & SURGERY,CHAS Clinic,164 TAMPINES ST 12 521164,1.3496215147162,103.9460006915
GOH CLINIC + SURGERY,CHAS Clinic,283 BT BATOK EAST AVE 3 650283,1.34694365739119,103.757539380941
GOODDOCTORS MEDICAL CLINIC,CHAS Clinic,18 YISHUN AVENUE 9 768897,1.43312284024159,103.841660985807
GRACE CLINIC & SURGERY,CHAS Clinic,607 ANG MO KIO AVE 4 560607,1.38046758627437,103.838816721495
GREAT HEALTH MEDICAL CLINIC,CHAS Clinic,407 ANG MO KIO AVENUE 10 560407,1.36191347168144,103.855247666969
GREEN CROSS MEDICAL CENTRE,CHAS Clinic,824 TAMPINES ST 81 520824,1.34903743492173,103.932714940567
GREENLIFE CLINIC & SURGERY,CHAS Clinic,11 CANBERRA RD 759775,1.44902668521597,103.820139486431
GREENLIFE CLINIC & SURGERY,CHAS Clinic,624 CHOA CHU KANG STREET 62 680624,1.3980473611046,103.747084778715
GREENLINK MEDICAL CLINIC,CHAS Clinic,807 YISHUN RING ROAD 760807,1.41649875780089,103.831578419639
GSH CLINIC & SURGERY PTE. LTD.,CHAS Clinic,9 YIO CHU KANG ROAD 545523,1.35466521856974,103.876883622707
Gerrard Teoh Hematology & Medical Clinic,CHAS Clinic,10 SINARAN DRIVE 307506,1.3207051098625,103.844160709873
GreenForest Family Clinic,CHAS Clinic,878C TAMPINES AVENUE 8 523878,1.35126411242426,103.929363834353
H S LEE CLINIC & SURGERY,CHAS Clinic,173 YISHUN AVE 7 760173,1.43706628201915,103.831120689791
HARMONY FAMILY CLINIC,CHAS Clinic,235 CHOA CHU KANG CENTRAL 680235,1.3797566438487,103.748749195678
HAVELOCK FAMILY CLINIC,CHAS Clinic,22 HAVELOCK RD 160022,1.28874603715013,103.828824191963
HEAL MEDICAL CENTRE,CHAS Clinic,262 BALESTIER ROAD 329714,1.32213342793662,103.85319966194
HEALTH PARTNERS FAMILY CLINIC,CHAS Clinic,1 BT BATOK CENTRAL LINK 658713,1.35001920966652,103.749244800522
HEALTH PARTNERS MEDICAL CLINIC,CHAS Clinic,100 Cecil Street 069532,1.28113563498683,103.848958253576
HEALTH PARTNERS MEDICAL CLINIC (SIGLAP),CHAS Clinic,23 UPPER EAST COAST ROAD 455289,1.31312677933466,103.926329604059
HEALTH PARTNERSHIP MEDICAL CENTRE,CHAS Clinic,109 BUKIT PURMEI RD 090109,1.27392939913176,103.825310761058
HEALTHBRIDGE FAMILY CLINIC,CHAS Clinic,615A EDGEFIELD PLAINS 821615,1.40386056418231,103.909541012266
HEALTHCARE FAMILY CLINIC & SURGERY,CHAS Clinic,403 SIN MING AVE 570403,1.36287032246814,103.833604034065
HEALTHCARE MEDICAL @ Kovan,CHAS Clinic,208 HOUGANG STREET 21 530208,1.35869679921108,103.886636110951
HEALTHCARE MEDICAL @ RAILMALL,CHAS Clinic,"446 UPPER BUKIT TIMAH ROAD, 678067",1.35960982893863,103.767604074877
HEALTHIFY MEDICAL FAMILY CLINIC,CHAS Clinic,262 BALESTIER ROAD 329714,1.32213342793662,103.85319966194
HEALTHLINE FAMILY CLINIC & SURGERY PTE. LTD.,CHAS Clinic,25A CHAI CHEE ROAD 461025,1.32328959901597,103.924149637094
HEALTHLINK (AMK) MEDICAL CENTRE,CHAS Clinic,108 ANG MO KIO AVE 4 560108,1.37096635229769,103.838201939907
HEALTHLINK FAMILY CLINIC & SURGERY,CHAS Clinic,21 GHIM MOH ROAD 270021,1.31010302628844,103.788545950367
EVERHEALTH MEDICAL CENTRE,CHAS Clinic,540 HOUGANG AVENUE 8 530540,1.37781568096983,103.891282466742
EVERTON CLINIC,CHAS Clinic,7 EVERTON PARK 080007,1.27692435181046,103.838679504053
EVERWELL CLINIC & SURGERY,CHAS Clinic,45 OWEN RD 210045,1.31559567557441,103.850825476113
EXCEL FAMILY CLINIC,CHAS Clinic,21 HOUGANG ST 51 538719,1.37924529078289,103.88783201701
EXCELSIOR CLINIC & SURGERY,CHAS Clinic,283 BT BATOK EAST AVE 3 650283,1.34694365739119,103.757539380941
Edgedale Medical Clinic (Cambridge),CHAS Clinic,40 CAMBRIDGE ROAD 210040,1.3159930169211,103.848243054151
Elissa Medical Clinic,CHAS Clinic,1 HOUGANG STREET 91 538692,1.37571530662888,103.879472338027
Elyon Family Clinic And Surgery,CHAS Clinic,78B TELOK BLANGAH STREET 32 102078,1.27363296004244,103.808335234688
Etern Medical Clinic,CHAS Clinic,70 PUNGGOL CENTRAL 828868,1.40454653696814,103.902072622227
Etern Medical Clinic (Fernvale Palm),CHAS Clinic,432A SENGKANG WEST WAY 791432,1.39475047621055,103.877202311346
Etern Medical Clinic (Sengkang),CHAS Clinic,33 SENGKANG WEST AVENUE 797653,1.39147015412078,103.876125506847
Eterna Medical Clinic,CHAS Clinic,629 ANG MO KIO AVENUE 4 560629,1.38010475022238,103.840408652686
F K LIM FAMILY CLINIC,CHAS Clinic,267 TAMPINES ST 21 520267,1.3507727878183,103.949259231371
FAITH CLINIC (BEDOK),CHAS Clinic,746 BEDOK RESERVOIR ROAD 470746,1.33728644810221,103.921215743798
FAITH CLINIC (SIMEI),CHAS Clinic,139 SIMEI ST 1 520139,1.34668351018352,103.956561347989
FAITH CLINIC (TOA PAYOH),CHAS Clinic,211 TOA PAYOH LOR 8 310211,1.34042178823098,103.853768900177
FAITH CLINIC (YISHUN),CHAS Clinic,598 YISHUN RING ROAD 768698,1.41795288509924,103.841268831273
FAITH FAMILY CLINIC,CHAS Clinic,57 MARINE TERRACE 440057,1.30651257339373,103.91548479998
FAITH HEALTHCARE (RIVERVALE),CHAS Clinic,11 RIVERVALE CRESCENT 545082,1.39250411008759,103.904483668484
FAITH HEALTHCARE (TAMPINES),CHAS Clinic,11 TAMPINES STREET 32 529287,1.3545494425702,103.959900188924
FAITH MEDICAL CLINIC & SURGERY,CHAS Clinic,487C TAMPINES ST 45 522487,1.36075820419992,103.957884241959
FAJAR FAMILY CLINIC & SURGERY,CHAS Clinic,445 FAJAR ROAD 670445,1.38358044593591,103.77076830515
FAMILY CARE CLINIC & SURGERY,CHAS Clinic,608 ANG MO KIO AVE 5 560608,1.37858210019768,103.836760311656
FAMILY CARE CLINIC PTE LTD,CHAS Clinic,415 BT BATOK WEST AVE 4 650415,1.36326877933412,103.746610701854
FAMILY CARE MEDICAL CENTRE PTE LTD,CHAS Clinic,916 Hougang Ave 9 530916,1.37491294218702,103.884293734337
FAMILY HEALTH CLINIC,CHAS Clinic,43 Holland Drive 270043,1.3074341112717,103.792897574707
FAMILY HEALTH CLINIC & SURGERY,CHAS Clinic,2 BALESTIER ROAD 320002,1.32589620222,103.842935479988
FAMILY HEALTH MEDICAL CENTRE,CHAS Clinic,226G ANG MO KIO AVE 1 567226,1.36682590272899,103.839861074062
CLIFFORD DISPENSARY PTE LTD,CHAS Clinic,50 AIRPORT BOULEVARD 819658,1.34821194016273,103.985459981704
CLIFFORD DISPENSARY PTE LTD,CHAS Clinic,350 ORCHARD ROAD 238868,1.30580981572661,103.831507365278
CLINIC @ THE SAIL,CHAS Clinic,2 MARINA BOULEVARD 018987,1.28076943496046,103.85265856205
CLINIC FARIDAH,CHAS Clinic,59 NEW UPPER CHANGI ROAD 461059,1.32405898637368,103.940695612374
CLINICAL ASSOCIATES MEDICAL CENTRE,CHAS Clinic,137 TECK WHYE LANE 680137,1.38004753002611,103.752483840899
CMY Medical,CHAS Clinic,37 CHAI CHEE AVENUE 461037,1.32544200316618,103.926207634385
COMFORT CLINIC & SURGERY,CHAS Clinic,214 SERANGOON AVE 4 550214,1.35732435179355,103.873633486993
COMPASSVALE 297A MEDICAL CLINIC,CHAS Clinic,297A COMPASSVALE ST 541297,1.39483596046538,103.900697317522
COUNTRYSIDE CLINIC AND SURGERY,CHAS Clinic,106 YISHUN RING RD 760106,1.43147861410692,103.827452004281
CRAWFURD MEDICAL,CHAS Clinic,3 TEMASEK BOULEVARD 038983,1.29593189474123,103.859014406987
CRESCENT CLINIC &  SURGERY,CHAS Clinic,1A EUNOS CRESCENT 401001,1.32129030506821,103.902727807655
CREST FAMILY CLINIC PTE. LTD.,CHAS Clinic,724 WOODLANDS AVE 6 730724,1.44466656455938,103.79871304314
CROSS STREET MEDICAL CLINIC,CHAS Clinic,531 UPPER CROSS STREET 050531,1.28439238197795,103.846101472114
Calrose Medical Family Clinic,CHAS Clinic,231A SUMANG LANE 821231,1.40205917712603,103.891879097963
Camry Medical Centre,CHAS Clinic,95 Toa Payoh Lorong 4 310095,1.33889072192265,103.848993317286
Canberra Care Medical Clinic,CHAS Clinic,120 CANBERRA CRESCENT 750120,1.4456745291262,103.831508132382
Care Family Clinic,CHAS Clinic,663 BUFFALO ROAD 210663,1.30568031682027,103.850857725358
Caring Family Clinic,CHAS Clinic,501 JURONG WEST STREET 51 640501,1.34981225393483,103.719222201398
Central 24-HR Clinic ( Pioneer North ),CHAS Clinic,959 JURONG WEST STREET 92 640959,1.34148123560942,103.690721731343
Central 24HR Clinic (Jurong West),CHAS Clinic,492 JURONG WEST STREET 41 640492,1.34994543580238,103.725180466271
Changi Clinic,CHAS Clinic,848 Sims Avenue 400848,1.31720886041624,103.901431784397
Chin Medical Clinic,CHAS Clinic,524A JELAPANG ROAD 671524,1.38540569301034,103.766228468168
Chua & Partners Family Clinic,CHAS Clinic,18 Jalan Membina 164018,1.28569742860668,103.826785447839
Chua Medical Centre Pte Ltd,CHAS Clinic,248 Simei St 3 520248,1.34359376286677,103.953541142784
Chua Medical Clinic And Surgery Pte. Ltd.,CHAS Clinic,642 BUKIT BATOK CENTRAL 650642,1.34900647929724,103.751706683251
Chung & Ee Medical Clinic,CHAS Clinic,10 TELOK BLANGAH CRESCENT 090010,1.27773153221637,103.819769431776
Circuit Medical Clinic,CHAS Clinic,36 CIRCUIT ROAD 370036,1.32902607935956,103.886930797614
CityGP Family Clinic,CHAS Clinic,122 BEDOK NORTH STREET 2 460122,1.32861719819575,103.937787149156
CityHealth Clinic & Surgery,CHAS Clinic,152 Beach Road 189721,1.29884087991136,103.859351023904
Clinic@Costa,CHAS Clinic,84 BAYSHORE ROAD 469994,1.31218816522514,103.940116990924
Clover Medical Clinic Pte Ltd,CHAS Clinic,21 CHOA CHU KANG NORTH 6 689578,1.39706712804272,103.746637430571
Cornerstone Medical,CHAS Clinic,29A GHIM MOH LINK 271029,1.30849288053919,103.784598100789
Cornerstone Medical Bidadari,CHAS Clinic,106A BIDADARI PARK DRIVE 341106,1.33413900018418,103.871259715426
Corporation Clinic (Choa Chu Kang),CHAS Clinic,253 Choa Chu Kang Ave 1 680253,1.37736607411235,103.744393648371
Crossroads Family Clinic,CHAS Clinic,601B TAMPINES AVENUE 9 522601,1.36088277451527,103.937510784032
DA CLINIC @ POTONG PASIR,CHAS Clinic,51 UPPER SERANGOON ROAD 347697,1.33149708060439,103.868214025397
DA Clinic @ Anson,CHAS Clinic,10 ANSON ROAD 079903,1.27588674304532,103.84592379296
DA clinic @ Anchorvale,CHAS Clinic,351 ANCHORVALE ROAD 540351,1.39332786576656,103.886617624917
DA clinic @ Bukit Batok,CHAS Clinic,451 BUKIT BATOK WEST AVENUE 6 650451,1.35303824914482,103.743948447105
DA clinic @ Sembawang,CHAS Clinic,604 SEMBAWANG ROAD 758459,1.44182470635163,103.824845207379
